measure_env	evolution_env	replicate	transfer	ciliate_per_ml
bact_pred	anc	B	11	5492
bact_pred	anc	C	11	9023
bact_pred	anc	D	11	7061
bact_pred	anc	E	11	4315
bact_pred	anc	F	11	6277
bact_pred	bact	A	11	4315
bact_pred	bact	B	11	7061
bact_pred	bact	C	11	9807
bact_pred	bact	D	11	8631
bact_pred	bact	E	11	11377
bact_pred	bact	F	11	10200
bact_pred	bact_strep	A	11	5100
bact_pred	bact_strep	B	11	3138
bact_pred	bact_strep	C	11	4708
bact_pred	bact_strep	D	11	4708
bact_pred	bact_strep	E	11	7454
bact_pred	bact_strep	F	11	3531
bact_pred	bact_pred	A	11	1569
bact_pred	bact_pred	B	11	1961
bact_pred	bact_pred	C	11	392
bact_pred	bact_pred	D	11	1961
bact_pred	bact_pred	E	11	3923
bact_pred	bact_pred	F	11	1961
bact_pred	bact_pred_strep	A	11	3531
bact_pred	bact_pred_strep	B	11	3531
bact_pred	bact_pred_strep	C	11	5100
bact_pred	bact_pred_strep	D	11	9807
bact_pred	bact_pred_strep	E	11	3138
bact_pred	bact_pred_strep	F	11	10200
bact_pred_strep	anc	A	11	0
bact_pred_strep	anc	B	11	4708
bact_pred_strep	anc	C	11	7454
bact_pred_strep	anc	D	11	5100
bact_pred_strep	anc	E	11	8238
bact_pred_strep	anc	F	11	0
bact_pred_strep	bact	A	11	8238
bact_pred_strep	bact	B	11	4315
bact_pred_strep	bact	C	11	6669
bact_pred_strep	bact	D	11	14515
bact_pred_strep	bact	E	11	14515
bact_pred_strep	bact	F	11	6277
bact_pred_strep	bact_strep	A	11	6277
bact_pred_strep	bact_strep	B	11	6277
bact_pred_strep	bact_strep	C	11	10984
bact_pred_strep	bact_strep	D	11	9415
bact_pred_strep	bact_strep	E	11	9807
bact_pred_strep	bact_strep	F	11	8631
bact_pred_strep	bact_pred	A	11	2746
bact_pred_strep	bact_pred	B	11	9023
bact_pred_strep	bact_pred	C	11	4315
bact_pred_strep	bact_pred	D	11	4708
bact_pred_strep	bact_pred	E	11	6669
bact_pred_strep	bact_pred	F	11	11769
bact_pred_strep	bact_pred_strep	A	11	4708
bact_pred_strep	bact_pred_strep	B	11	1569
bact_pred_strep	bact_pred_strep	C	11	9023
bact_pred_strep	bact_pred_strep	D	11	3138
bact_pred_strep	bact_pred_strep	E	11	1569
bact_pred_strep	bact_pred_strep	F	11	3923
bact_pred	anc	A	12	7454
bact_pred	anc	B	12	7846
bact_pred	anc	C	12	7061
bact_pred	anc	D	12	5100
bact_pred	anc	E	12	7061
bact_pred	anc	F	12	4708
bact_pred	bact	A	12	785
bact_pred	bact	B	12	2746
bact_pred	bact	C	12	3923
bact_pred	bact	D	12	1961
bact_pred	bact	E	12	3138
bact_pred	bact	F	12	3531
bact_pred	bact_strep	A	12	392
bact_pred	bact_strep	B	12	1569
bact_pred	bact_strep	C	12	2746
bact_pred	bact_strep	D	12	2354
bact_pred	bact_strep	E	12	3531
